order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDZ01692,2018-05-18,12:33:48,Lunch,NS,"[('Chicken', 2), ('Burger', 1), ('Salad', 10), ('Fries', 4)]",315.0,-37.8038782,144.9584089,0,7.53,13.0110982
ORDC08329,2018-04-08,11:12:40,Breakfast,NS,"[('Eggs', 10), ('Coffee', 10), ('Cereal', 9)]",484.0,-37.8006096,144.9702257,0,6.071,13.1929444
ORDZ04035,2018-12-17,19:39:43,Dinner,NS,"[('Fish&Chips', 9), ('Salmon', 10), ('Shrimp', 1), ('Pasta', 6)]",944.0,-37.8058101,144.9490186,0,8.601,14.6224876
ORDY06321,2018-05-16,12:23:39,Lunch,TP,"[('Steak', 8), ('Burger', 5), ('Fries', 5), ('Chicken', 2), ('Salad', 7)]",759.4,-37.8087626,144.9718879,0,9.175,12.5563179
ORDK10911,2018-01-16,08:30:25,Breakfast,BK,"[('Eggs', 5), ('Coffee', 4)]",140.0,-37.8119424,144.9456933,1,9.302,7.3634812
ORDJ01282,2018-02-24,09:41:24,Breakfast,TP,"[('Pancake', 4), ('Coffee', 9), ('Cereal', 7)]",311.5,-37.8234726,144.9725807,0,8.285,12.2096031
ORDZ08473,2018-10-09,17:17:44,Dinner,NS,"[('Shrimp', 5), ('Fish&Chips', 4)]",410.0,-37.8139729,144.9715369,0,7.642,13.8032236
ORDI10846,2018-09-20,16:37:10,Dinner,NS,"[('Pasta', 7), ('Salmon', 3)]",315.5,-37.8241111,145.0125402,0,11.696,18.1005482
ORDY01248,2018-12-11,19:19:26,Dinner,TP,"[('Salmon', 9), ('Shrimp', 8), ('Fish&Chips', 1), ('Pasta', 6)]",1001.0,-37.8058582,144.973045,0,9.484,13.1311552
ORDZ08266,2018-05-30,12:54:05,Lunch,NS,"[('Chicken', 7), ('Salad', 9)]",378.8,-37.8069563,144.9899047,0,8.257,13.6572663
ORDY09387,2018-03-24,10:42:15,Breakfast,TP,"[('Coffee', 4), ('Eggs', 4), ('Pancake', 4)]",215.0,-37.8185792,144.9756236,0,8.412,13.0246539
ORDC09080,2018-05-05,12:03:22,Lunch,NS,"[('Fries', 8), ('Chicken', 8), ('Steak', 5), ('Burger', 9)]",856.0,-37.804721,144.9274749,0,10.573,18.0855489
ORDY10819,2018-04-29,11:53:14,Breakfast,TP,"[('Pancake', 3), ('Coffee', 2)]",87.75,-37.8105946,144.9832324,0,9.463,13.7033312
ORDC10937,2018-06-06,13:04:13,Lunch,NS,"[('Chicken', 6), ('Steak', 8)]",552.0,-37.8032428,144.9491271,0,8.552,14.1809507
ORDY03536,2018-09-27,16:57:27,Dinner,TP,"[('Pasta', 2), ('Fish&Chips', 2), ('Salmon', 7)]",412.0,-37.8073824,145.0077081,0,11.991,16.1999566
ORDJ00010,2018-02-04,09:00:50,Breakfast,TP,"[('Eggs', 3), ('Pancake', 3)]",138.75,-37.802308,144.9301719,0,11.496,15.2360866
ORDZ07035,2018-05-19,12:33:48,Lunch,NS,"[('Salad', 6), ('Chicken', 3)]",199.2,-37.7999252,144.9536474,0,7.672,15.1691265
ORDZ00790,2018-10-17,17:38:01,Dinner,NS,"[('Salmon', 3), ('Pasta', 6)]",288.0,-37.802407,144.9507715,0,8.091,14.114256
ORDC02064,2018-09-07,16:16:54,Dinner,NS,"[('Pasta', 3), ('Fish&Chips', 5), ('Salmon', 4)]",421.5,-37.8205085,144.9767566,0,8.897,15.1653461
ORDJ01740,2018-07-30,14:55:46,Lunch,TP,"[('Salad', 6), ('Fries', 4), ('Steak', 9), ('Chicken', 7)]",780.2,-37.8046614,144.9927895,0,10.902,14.1322662
