order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDX10841,2018-09-27,16:57:27,Dinner,BK,"[('Shrimp', 8), ('Salmon', 4), ('Fish&Chips', 6), ('Pasta', 7)]",998.5,-37.8035617,144.9453112,0,9.148,8.253948
ORDZ06960,2018-06-15,13:24:30,Lunch,NS,"[('Steak', 9), ('Chicken', 10)]",725.0,-37.8187334,145.015963,0,11.866,17.3861525
ORDK09812,2018-01-28,08:50:42,Breakfast,BK,"[('Eggs', 8), ('Pancake', 9), ('Cereal', 10), ('Coffee', 10)]",679.25,-37.8114779,144.9381658,0,10.034,17.5988739
ORDJ11099,2018-11-11,18:28:43,Dinner,TP,"[('Salmon', 5), ('Fish&Chips', 1), ('Shrimp', 3), ('Pasta', 6)]",567.0,-37.8182877,144.9467771,0,9.283,15.1490297
ORDA10794,2018-08-06,15:05:54,Lunch,BK,"[('Chicken', 10), ('Steak', 8), ('Burger', 7), ('Salad', 6)]",1000.2,-37.811975,144.965722,0,7.447,13.2476579
ORDA06808,2018-09-25,16:47:19,Dinner,BK,"[('Shrimp', 10), ('Salmon', 1), ('Fish&Chips', 4)]",721.0,-37.8171344,144.9888082,0,5.776,12.6614819
ORDJ05548,2018-04-30,11:53:14,Breakfast,TP,"[('Cereal', 2), ('Coffee', 1), ('Eggs', 8), ('Pancake', 3)]",298.25,-37.7998744,144.9550581,0,9.817,12.6589809
ORDX07952,2018-02-10,09:21:07,Breakfast,BK,"[('Eggs', 8), ('Pancake', 10)]",418.5,-37.8070022,144.9656899,0,7.187,14.6004407
ORDB02140,2018-09-21,16:37:10,Dinner,TP,"[('Salmon', 1), ('Shrimp', 1)]",95.0,-37.8144329,144.948817,0,9.468,20.54048445
ORDY06621,2018-06-30,13:54:55,Lunch,TP,"[('Burger', 2), ('Chicken', 9), ('Steak', 4)]",530.0,-37.8186253,144.9859203,0,9.264,14.0627346
ORDB10084,2018-12-20,19:39:43,Dinner,TP,"[('Fish&Chips', 5), ('Shrimp', 4), ('Pasta', 6)]",556.0,-37.8210097,144.9549332,0,8.195,18.050987250000002
ORDA09420,2018-04-20,11:32:57,Breakfast,BK,"[('Eggs', 5), ('Cereal', 8), ('Coffee', 2), ('Pancake', 6)]",438.5,-37.8210304,144.9551575,0,8.58,13.6844387
ORDX08912,2018-09-26,16:47:19,Dinner,BK,"[('Shrimp', 8), ('Pasta', 9), ('Salmon', 9), ('Fish&Chips', 8)]",1328.5,-37.8209904,144.9552987,0,8.567,15.5698281
ORDB01920,2018-11-18,18:38:52,Dinner,TP,"[('Salmon', 8), ('Shrimp', 4)]",544.0,-37.8108897,145.0041087,0,11.383,16.8947286
